date,ХВС [11313325],ХВС [11446986],ХВС [11640487],ХВС [17365082],ХВС [17365088],ХВС [61613978],ХВС [Жители Л7],ЭД [604125464],ЭД [6044125491],ЭД [703120303],ЭД [703120310],ЭД [703120514],ЭД [703120554],ЭД [703120638],ЭД [703120713],ЭД [703120803],ЭД [703121380],ЭД [711122200],ЭД [711122207],ЭД [711122248],ЭД [711122250],ЭД [711122305],ЭД [711122346],ЭД [711122599],ЭД [712110934],ЭН [604125464],ЭН [6044125491],ЭН [703120303],ЭН [703120310],ЭН [703120514],ЭН [703120554],ЭН [703120638],ЭН [703120713],ЭН [703120803],ЭН [703121380],ЭН [711122200],ЭН [711122207],ЭН [711122248],ЭН [711122250],ЭН [711122305],ЭН [711122346],ЭН [711122599],ЭН [712110934]
01.03.2023,166.0,0.0,0.0,5362.0,4514.0,11489.0,0.0,4380.0,3320.0,112.0,1382.0,1550.0,90.0,1149.0,647.0,2768.0,2519.0,1374.0,818.0,886.0,37.0,163.0,833.0,5555.0,4501.0,1860.0,1100.0,55.0,481.0,770.0,44.0,644.0,152.0,800.0,854.0,463.0,205.0,228.0,18.0,81.0,489.0,2772.0,2216.0
01.04.2023,453.0,0.0,0.0,13803.0,11679.0,11507.0,,10600.0,7940.0,273.0,3352.0,3508.0,225.0,2697.0,1561.0,6515.0,6050.0,3275.0,2006.0,2094.0,90.0,373.0,1985.0,13692.0,10958.0,4240.0,2720.0,137.0,1265.0,1804.0,109.0,1552.0,370.0,1401.0,2035.0,1130.0,511.0,544.0,45.0,196.0,1183.0,6281.0,4997.0
01.05.2023,738.0,0.0,0.0,21075.0,17826.0,11520.0,,17500.0,13020.0,486.0,5697.0,5757.0,370.0,4496.0,2426.0,10581.0,9885.0,5367.0,3357.0,3490.0,151.0,641.0,3242.0,16373.0,20050.0,7040.0,4540.0,230.0,2066.0,2873.0,181.0,2561.0,571.0,4882.0,3279.0,1814.0,853.0,907.0,75.0,336.0,1923.0,7211.0,9276.0
01.06.2023,938.0,0.0,0.0,26592.0,22424.0,11532.0,,21900.0,16640.0,622.0,7268.0,7350.0,475.0,5794.0,3039.0,13683.0,12831.0,7020.0,4222.0,4546.0,201.0,839.0,4210.0,17155.0,23694.0,9060.0,5840.0,298.0,2668.0,3592.0,235.0,3287.0,729.0,5861.0,4015.0,2217.0,1029.0,1124.0,92.0,409.0,2299.0,7601.0,11092.0
01.07.2023,1220.0,0.0,0.0,30054.0,27913.0,11544.0,,26840.0,20400.0,778.0,8964.0,9146.0,603.0,7368.0,3837.0,17424.0,16182.0,8962.0,5147.0,5755.0,260.0,1078.0,5338.0,,,11340.0,7260.0,376.0,3343.0,4459.0,301.0,4149.0,947.0,7025.0,4816.0,2672.0,1207.0,1360.0,111.0,492.0,2711.0,,
01.08.2023,1474.0,0.0,0.0,36064.0,33183.0,11557.0,,31980.0,24360.0,1024.0,10730.0,11125.0,734.0,9021.0,4673.0,21396.0,19580.0,10844.0,6324.0,7072.0,322.0,1319.0,6573.0,,,13780.0,8800.0,457.0,4088.0,5488.0,367.0,5075.0,1178.0,8301.0,5683.0,3150.0,1435.0,1634.0,132.0,585.0,3194.0,,
01.09.2023,1752.0,0.0,0.0,36064.0,46871.0,11571.0,,37600.0,28680.0,1203.0,12723.0,13441.0,871.0,10681.0,5606.0,25631.0,23414.0,13005.0,7632.0,8510.0,389.0,1543.0,7906.0,,,16320.0,10360.0,542.0,4886.0,6657.0,436.0,6026.0,1412.0,9502.0,6545.0,3628.0,1656.0,1882.0,151.0,654.0,3678.0,,
01.10.2023,2021.0,0.0,0.0,36064.0,61636.0,11591.0,,42240.0,32060.0,1328.0,14408.0,15336.0,972.0,12142.0,6307.0,29181.0,26331.0,14637.0,8649.0,9603.0,438.0,1718.0,8972.0,,,18240.0,11560.0,608.0,5508.0,7550.0,488.0,6842.0,1578.0,10572.0,7267.0,4025.0,1831.0,2116.0,168.0,713.0,4087.0,,
01.11.2023,2193.0,0.0,0.0,38077.0,71897.0,11623.0,,49900.0,37780.0,1479.0,17335.0,18785.0,1145.0,14249.0,7494.0,34575.0,31766.0,17509.0,10355.0,11719.0,521.0,1995.0,10740.0,,,21520.0,13620.0,693.0,6607.0,9055.0,574.0,7985.0,1858.0,12095.0,8533.0,4661.0,2108.0,2499.0,193.0,799.0,4671.0,,
01.12.2023,2365.0,0.0,0.0,46387.0,77220.0,11646.0,,55160.0,41940.0,1679.0,19479.0,21387.0,1264.0,15903.0,8349.0,38572.0,36040.0,19550.0,11542.0,12964.0,579.0,2189.0,11973.0,,,23780.0,15080.0,784.0,7382.0,10109.0,634.0,8824.0,2061.0,13229.0,9555.0,5121.0,2306.0,2719.0,211.0,863.0,5086.0,,
01.01.2024,2570.0,0.0,0.0,54381.0,82368.0,11660.0,,61340.0,46740.0,1843.0,21764.0,24079.0,1410.0,17846.0,9280.0,43276.0,42135.0,21823.0,12842.0,14355.0,645.0,2415.0,13526.0,,,26520.0,16780.0,867.0,8222.0,11257.0,702.0,9818.0,2294.0,14512.0,11104.0,5634.0,2522.0,2971.0,231.0,933.0,5580.0,,
01.02.2024,2827.0,0.0,0.0,63257.0,88111.0,11678.0,,66740.0,51220.0,1992.0,23761.0,26207.0,1537.0,19508.0,10151.0,47123.0,47074.0,23732.0,13981.0,15580.0,703.0,2585.0,14654.0,,,28880.0,18320.0,942.0,8958.0,12250.0,764.0,10728.0,2502.0,16088.0,12898.0,6255.0,2776.0,3268.0,256.0,1010.0,6135.0,,
01.03.2024,3077.0,0.0,0.0,71207.0,93448.0,11695.0,,72700.0,56040.0,2157.0,25830.0,28229.0,1679.0,21217.0,11058.0,50923.0,51862.0,25724.0,15195.0,16871.0,764.0,2763.0,15950.0,,,31460.0,20000.0,1025.0,9761.0,13301.0,831.0,11703.0,2723.0,17957.0,14895.0,7007.0,3076.0,3612.0,286.0,1101.0,6860.0,,
01.04.2024,3359.0,0.0,0.0,80725.0,99754.0,11705.0,,80040.0,61280.0,2348.0,28160.0,30637.0,1834.0,23221.0,12170.0,55311.0,57120.0,28050.0,16638.0,18352.0,833.0,2977.0,17384.0,,,34300.0,21880.0,1121.0,10685.0,14543.0,908.0,12848.0,2987.0,19971.0,17074.0,7870.0,3433.0,4013.0,320.0,1217.0,7675.0,,
01.05.2024,3551.0,0.0,0.0,87702.0,104085.0,11710.0,,84520.0,64660.0,2473.0,29646.0,32259.0,1935.0,24556.0,12892.0,58108.0,60238.0,29554.0,17581.0,19331.0,880.0,3127.0,18331.0,,,36200.0,23080.0,1184.0,11253.0,15304.0,959.0,13605.0,3165.0,21223.0,18393.0,8414.0,3668.0,4283.0,343.0,1293.0,8211.0,,
01.06.2024,3790.0,0.0,0.0,96328.0,108865.0,11722.0,,90360.0,68920.0,2649.0,31594.0,34382.0,2121.0,26172.0,13829.0,61819.0,64090.0,31571.0,18921.0,20720.0,1024.0,3339.0,19600.0,,,38940.0,24580.0,1269.0,11999.0,16246.0,1027.0,14513.0,3413.0,22560.0,19550.0,8956.0,3936.0,4580.0,400.0,1370.0,8732.0,,
01.07.2024,4018.0,0.0,0.0,101614.0,112969.0,11733.0,,95060.0,72500.0,2798.0,33144.0,36054.0,2237.0,27491.0,14591.0,64845.0,67378.0,33301.0,20036.0,21864.0,1142.0,3550.0,20796.0,,,41200.0,25960.0,1343.0,12628.0,17074.0,1086.0,15274.0,3624.0,23535.0,20421.0,9383.0,4104.0,4818.0,444.0,1435.0,9157.0,,
